,Comment,Forum,Segments,NoStopPunct
10904,"逼中共出老解
出 -> 老解元氣大傷 印度仔又可以霸地
唔出 -> 文宣好材料 用黎分化大中華膠",1,"逼 中共 出老解 
 出   - >   老解 元氣大傷   印度 仔 又 可以 霸地 
 唔 出   - >   文宣好 材料   用黎 分化 大中華 膠",逼 中共 出老解 出 老解 元氣大傷 印度 仔 霸地 出 文宣好 材料 用黎 分化 大中華 膠
10905,"又真係事實,只係誇張咗.....少少",1,"又 真係 事實 , 只係 誇張 咗 ..... 少少",事實 只係 誇張 ..... 少少
10906,最強MK仔,1,最強 MK 仔,最強 MK 仔
10907,"中共又多條戰線要打
再有華人被殺 老解仲敢唔出",1,"中共 又 多條 戰線 要 打 
 再有 華人 被 殺   老解仲敢 唔 出",中共 多條 戰線 打 再有 華人 被 殺 老解仲敢 出
10908,垃圾廢中,1,垃圾 廢中,垃圾 廢中
10909,"同佢講係
斬人都已經出現",1,"同 佢 講 係 
 斬人 都 已經 出現",斬人 出現
10910,果一射直頭係核彈，擴散全球,1,果一射 直頭 係 核彈 ， 擴散 全球,果一射 直頭 核彈 擴散 全球
10911,茉莉花,1,茉莉花,茉莉花
10912,香港係反中共最前線,1,香港 係 反 中共 最 前線,香港 反 中共 前線
10913,遠離中國係好事 唔係排華 係要排中共人,1,遠離 中國 係 好事   唔係 排華   係 要 排 中共 人,遠離 中國 好事 排華 排 中共 人
10914,文宣分化,1,文宣 分化,文宣 分化
10915,就算打仗，都有人開心快樂飲食,1,就算 打仗 ， 都 有人 開心 快樂 飲食,就算 打仗 有人 開心 快樂 飲食
10916,台灣咪係一個好例子,1,台灣 咪 係 一個 好 例子,台灣 一個 例子
10917,排華,1,排華,排華
10918,唔肯融入嗰啲死/走晒，肯融合既就泥牛入海變印尼人,1,唔 肯 融入 嗰啲 死 / 走 晒 ， 肯 融合 既 就 泥牛入海 變 印尼 人,肯 融入 死 走 晒 肯 融合 泥牛入海 變 印尼 人
10919,一戴一露洗左幾多錢？算唔算一鋪清袋？,1,一戴 一露 洗 左 幾多 錢 ？ 算 唔 算 一鋪 清袋 ？,一戴 一露 洗 左 錢 算 算 一鋪 清袋
10920,其實現時印尼都係講緊反中，並非指反埋當地印尼華人， 但有啲人會同兩者掛鉤，所以最慘係佢哋㗎，有咩事中國佬拍拍屁股返鄉下， 佢哋就有排受。,1,其實 現時 印尼 都 係 講緊 反中 ， 並非 指反 埋 當地 印尼 華人 ，   但 有啲 人 會同 兩者 掛鉤 ， 所以 最慘 係 佢哋 㗎 ， 有 咩 事 中國 佬 拍拍 屁股 返 鄉下 ，   佢哋 就 有排 受 。,其實 現時 印尼 講緊 反中 並非 指反 埋 當地 印尼 華人 但 人 會同 兩者 掛鉤 最慘 㗎 事 中國 佬 拍拍 屁股 鄉下 有排 受
10921,係歷史上留名嘅MK,1,係 歷史 上 留名 嘅 MK,歷史 上 留名 MK
10922,政治ATM,1,政治 ATM,政治 ATM
10923,"識唔少印尼華僑
佢地分分鐘又要比人排",1,"識 唔 少 印尼 華僑 
 佢 地 分分鐘 又 要 比人排",識 少 印尼 華僑 地 分分鐘 比人排
10924,我啲親戚呢通常住印尼兩個大島， 一個就婆羅乃， 印尼叫加里曼丹島， 一個爪哇島， 爪哇島多數住雅加達或坦格朗，雅加達出生嗰啲多數已經印尼化， 除咗外表或者宗教之外， 同一般爪哇人冇分別，反而婆羅乃嗰班keep到本身文化及語言。我老母第十一個細佬信咗回，裝束同文化已經完全爪哇， 我真係唔覺得佢係華人，著埋啲回衫拍白帽，除咗皮膚色，同一個爪哇人冇分別。,1,我 啲 親戚 呢 通常 住 印尼 兩個 大島 ，   一個 就 婆羅 乃 ，   印尼 叫 加里曼丹 島 ，   一個 爪哇島 ，   爪哇島 多數 住 雅加達 或 坦格朗 ， 雅加達 出生 嗰啲 多數 已經 印尼 化 ，   除咗 外表 或者 宗教 之外 ，   同一 般 爪哇人 冇 分別 ， 反而 婆羅 乃 嗰 班 keep 到 本身 文化 及 語言 。 我 老母 第十一個 細佬 信 咗 回 ， 裝束 同 文化 已經 完全 爪哇 ，   我 真係 唔 覺得 佢 係 華人 ， 著 埋 啲 回衫 拍 白帽 ， 除咗 皮膚 色 ， 同一個 爪哇人 冇 分別 。,親戚 通常 住 印尼 兩個 大島 一個 婆羅 乃 印尼 叫 加里曼丹 島 一個 爪哇島 爪哇島 多數 住 雅加達 或 坦格朗 雅加達 出生 多數 印尼 化 除咗 外表 宗教 之外 同一 般 爪哇人 分別 反而 婆羅 乃 班 keep 本身 文化 及 語言 老母 第十一個 細佬 信 回 裝束 文化 完全 爪哇 華人 著 埋 回衫 拍 白帽 除咗 皮膚 色 同一個 爪哇人 分別
10925,珍外國勢力,1,珍 外國 勢力,珍 外國 勢力
10926,相信暫時都唔會有咩事， 佐科個勢好強， 印尼有好多人buy佢，特別係啲上咗位嘅爪哇族中產。之後我唔知。,1,相信 暫時 都 唔會 有 咩 事 ，   佐科個 勢 好強 ，   印尼 有 好多 人 buy 佢 ， 特別 係 啲 上 咗 位 嘅 爪哇 族 中產 。 之後 我 唔知 。,相信 暫時 唔會 事 佐科個 勢 好強 印尼 好多 人 buy 特別 上 位 爪哇 族 中產 唔知
10927,香港反共運動將會係亞洲激起千重浪,1,香港 反共 運動 將會 係 亞洲 激起 千重 浪,香港 反共 運動 將會 亞洲 激起 千重 浪
10928,"我一早講過...
其實呢類行徑，將會引起一番浪潮，
將中國人、中國政權霸道橫行、強施自己意識形態於他人身上的行徑 表露無遺。
澳洲、加拿大、法國...無一倖免
為人民幣跪低的惡果終於報係頭上，仲要係裸條條係自己屋企門前
辛苦外地支持香港人的朋友，你地的努力不但沒有白費，仲會係極大地影響未來世界格局的一步。",1,"我 一早 講過 ... 
 其實 呢類 行徑 ， 將會 引起 一番 浪潮 ， 
 將 中國 人 、 中國 政權 霸道橫行 、 強施 自己 意識形態 於 他人 身上 的 行徑   表露無遺 。 
 澳洲 、 加拿大 、 法國 ... 無一倖免 
 為 人民幣 跪低 的 惡果 終於 報 係 頭上 ， 仲要 係 裸 條條 係 自己 屋企 門前 
 辛苦 外地 支持 香港人 的 朋友 ， 你 地 的 努力 不但 沒有 白費 ， 仲會 係 極大 地 影響 未來 世界 格局 的 一步 。",一早 講過 ... 其實 呢類 行徑 將會 引起 一番 浪潮 將 中國 人 中國 政權 霸道橫行 強施 意識形態 於 他人 身上 行徑 表露無遺 澳洲 加拿大 法國 ... 無一倖免 為 人民幣 跪低 惡果 終於 報 頭上 仲要 裸 條條 屋企 門前 辛苦 外地 支持 香港人 朋友 地 努力 不但 白費 仲會 極大 地 影響 未來 世界 格局 一步
10929,係越南打柒赤柬，赤柬向中共求救，中共出兵圍魏救趙。,1,係 越南 打柒 赤 柬 ， 赤 柬 向 中共 求救 ， 中共 出兵 圍魏救趙 。,越南 打柒 赤 柬 赤 柬 向 中共 求救 中共 出兵 圍魏救趙
10930,"越南領土同大陸接壤加上有成千年係中國統治,1979年打過中越戰爭, 近年又有南海問題, 印尼始終距離太遠",1,"越南 領土 同大 陸 接壤 加上 有成 千年 係 中國 統治 , 1979 年 打過 中越 戰爭 ,   近年 又 有 南海 問題 ,   印尼 始終 距離 太遠",越南 領土 同大 陸 接壤 加上 有成 千年 中國 統治 1979 年 打過 中越 戰爭 近年 南海 問題 印尼 始終 距離 太遠
10931,"咁咪好囉
世界冇一個地方歡迎支那豬",1,"咁 咪 好 囉 
 世界 冇 一個 地方 歡迎 支那 豬",囉 世界 一個 地方 歡迎 支那 豬
10932,係咪要起條狗公出嚟,1,係咪 要 起條 狗 公出 嚟,係咪 起條 狗 公出 嚟
10933,大粒乜影響全球政局,1,大粒 乜 影響 全球 政局,大粒 影響 全球 政局
10934,客觀事實,1,客觀事實,客觀事實
10935,全球最大 中出綠帽殺人風暴 上線啦,1,全球 最大   中出 綠帽 殺人 風暴   上線 啦,全球 最大 中出 綠帽 殺人 風暴 上線 啦
10936,"陳同佳係綠帽受害者
派帽中出嗰個狗公先係國父",1,"陳 同佳 係 綠帽 受害者 
 派帽 中出 嗰個 狗公先 係 國父",陳 同佳 綠帽 受害者 派帽 中出 狗公先 國父
10937,"當年林維喜案
間接引發鴉片戰爭
今年陳庭佳案會引發d咩呢",1,"當年 林維喜案 
 間接 引發 鴉片戰爭 
 今年 陳 庭佳案 會 引發 d 咩 呢",當年 林維喜案 間接 引發 鴉片戰爭 今年 陳 庭佳案 引發 d
10938,"港共=赤柬
林鄭=Pol Pot",1,"港共 = 赤 柬 
 林鄭 = Pol   Pot",港共 赤 柬 林鄭 Pol Pot
10939,"當年赤柬大屠殺殺左柬埔寨國內好多越南人不特止
仲要入侵越南領土屠村
越南攞正牌出兵打柒赤柬",1,"當年 赤 柬 大屠殺 殺 左 柬埔寨 國內 好多 越南人 不特止 
 仲要 入侵 越南 領土 屠村 
 越南 攞 正牌 出兵 打柒 赤 柬",當年 赤 柬 大屠殺 殺 左 柬埔寨 國內 好多 越南人 不特止 仲要 入侵 越南 領土 屠村 越南 攞 正牌 出兵 打柒 赤 柬
10940,時代雜誌年代風雲人物,1,時代 雜誌 年代 風雲人物,時代 雜誌 年代 風雲人物
10941,BTW當年柬埔寨華人被赤柬屠殺時候中共表示WFC,1,BTW 當年 柬埔寨 華人 被 赤 柬 屠殺 時候 中共 表示 WFC,BTW 當年 柬埔寨 華人 被 赤 柬 屠殺 時候 中共 表示 WFC
10942,拔萃有個大仆街,1,拔萃 有個 大仆街,拔萃 有個 大仆街
10943,呢個消息假唔晒,1,呢個 消息 假 唔 晒,消息 假 晒
10944,"唔知大家對馬拉超人: 丘光耀 有冇印象？
2014年支持雨傘革命，宜家親中，做大馬商業官員，話自己不是支持港獨",1,"唔知 大家 對 馬拉 超人 :   丘 光耀   有冇 印象 ？ 
 2014 年 支持 雨傘 革命 ， 宜家 親中 ， 做 大馬 商業 官員 ， 話 自己 不是 支持 港獨",唔知 大家 對 馬拉 超人 丘 光耀 印象 2014 年 支持 雨傘 革命 宜家 親中 做 大馬 商業 官員 支持 港獨
10945,出完獄即入廠,1,出 完獄 即入 廠,出 完獄 即入 廠
10946,"地殼板塊雖重
但仍是會動的",1,"地殼 板塊 雖重 
 但 仍 是 會動 的",地殼 板塊 雖重 但 仍 會動
10947,"元朗 荃灣 北角 加埋今日單斬人
中國有組織暴徒襲擊香港市民呢個講法完全冇誇大",1,"元朗   荃灣   北角   加埋 今日 單斬人 
 中國 有 組織 暴徒 襲擊 香港市民 呢個 講法 完全 冇 誇大",元朗 荃灣 北角 加埋 今日 單斬人 中國 組織 暴徒 襲擊 香港市民 講法 完全 誇大
10948,都差唔多係咁 啲政客冇講錯,1,都 差唔多 係 咁   啲 政客 冇 講錯,差唔多 政客 講錯
10949,呢個係事實喎,1,呢個 係 事實 喎,事實
10950,呢個已經係啦，直接同你親戚講係真,1,呢個 已經 係 啦 ， 直接 同 你 親戚 講 係 真,啦 直接 親戚 真
10951,排支!!!,1,排支 ! ! !,排支
10952,全球反中,1,全球 反中,全球 反中
10953,中國人真係全球討厭,1,中國 人 真係 全球 討厭,中國 人 全球 討厭
10954,禁果，一切罪惡的開端,1,禁果 ， 一切 罪惡 的 開端,禁果 一切 罪惡 開端
10955,佢哋講到同98年印尼排華差唔多，啲舖頭畀人燒哂之類，咁又未到呢嗰地步。,1,佢哋 講到 同 98 年 印尼 排華 差唔多 ， 啲 舖頭 畀 人燒 哂 之類 ， 咁 又 未 到 呢 嗰 地步 。,講到 98 年 印尼 排華 差唔多 舖頭 畀 人燒 哂 之類 地步
10956,因為潘小姐勾佬而引發第三次世界大戰,1,因為 潘 小姐 勾佬 而 引發 第三次 世界大戰,潘 小姐 勾佬 引發 第三次 世界大戰
10957,綠帽事變,1,綠帽 事變,綠帽 事變
10958,"將你地渣刀既手換成渣鍵盤,
將私刑同斬人呢兩件事放上網,發俾外國媒體,send俾各國領事館
只有國際輿論先可以
還我地公道正義,
還我地民主自由.
全世界開twitter,仲有咩外國常用嫁?我地要打國際輿論戰呀,本地既交俾啲傳媒同民間記者會啦.
林鄭只係傀儡,警察只係傀儡既擋箭牌.
五大訴求 缺一不可",1,"將你地 渣 刀 既 手 換成 渣 鍵盤 , 
 將 私刑 同斬人 呢 兩件事 放 上網 , 發 俾 外國 媒體 , send 俾 各國 領事館 
 只有 國際輿論 先 可以 
 還我地 公道 正義 , 
 還我地 民主自由 . 
 全世界 開 twitter , 仲有 咩 外國 常用 嫁 ? 我 地要 打 國際 輿 論戰 呀 , 本地 既交 俾 啲 傳媒 同 民間 記者會 啦 . 
 林鄭 只係 傀儡 , 警察 只係 傀儡 既 擋箭牌 . 
 五大 訴求   缺一不可",將你地 渣 刀 手 換成 渣 鍵盤 將 私刑 同斬人 兩件事 放 上網 發 俾 外國 媒體 send 俾 各國 領事館 只有 國際輿論 先 還我地 公道 正義 還我地 民主自由 全世界 開 twitter 仲有 外國 常用 嫁 地要 打 國際 輿 論戰 本地 既交 俾 傳媒 民間 記者會 啦 林鄭 只係 傀儡 警察 只係 傀儡 擋箭牌 五大 訴求 缺一不可
10959,拳打中國做對了,1,拳打 中國 做 對了,拳打 中國 做 對了
10960,"潘曉穎、陳同佳改變世界。
陳同佳呢個殺人犯，就算出黎比人打死，都不枉此生。佢改變了香港、改變了中國，做左影響世界的超級政客。",1,"潘曉穎 、 陳 同佳 改變 世界 。 
 陳 同佳 呢個 殺人犯 ， 就算 出黎 比人 打死 ， 都 不枉 此生 。 佢 改變 了 香港 、 改變 了 中國 ， 做 左 影響 世界 的 超級 政客 。",潘曉穎 陳 同佳 改變 世界 陳 同佳 殺人犯 就算 出黎 比人 打死 不枉 此生 改變 了 香港 改變 了 中國 做 左 影響 世界 超級 政客
10961,"中國組織暴徒血洗香港街道=>
有，元朗，北角，荃灣，港九新界都有!快排華!",1,"中國 組織 暴徒 血洗 香港 街道 = > 
 有 ， 元朗 ， 北角 ， 荃灣 ， 港九 新界 都 有 ! 快 排華 !",中國 組織 暴徒 血洗 香港 街道 元朗 北角 荃灣 港九 新界 快 排華
10962,改變世界的情殺犯,1,改變 世界 的 情殺 犯,改變 世界 情殺 犯
10963,食窮中共馬來西亞都老屈中共高鐵減價,1,食窮 中共 馬來西亞 都 老屈 中共 高鐵 減價,食窮 中共 馬來西亞 老屈 中共 高鐵 減價
10964,"yes，加下印尼啲反對黨就拎香港嚟講，話如果唔將親中嘅佐科踢走，印尼下場就同香港現時一樣。=>
咁有遠見!",1,"yes ， 加下 印尼 啲 反對黨 就 拎 香港 嚟 講 ， 話 如果 唔 將親 中 嘅 佐 科 踢走 ， 印尼 下場 就 同 香港 現時 一樣 。 = > 
 咁 有遠見 !",yes 加下 印尼 反對黨 拎 香港 嚟 將親 中 佐 科 踢走 印尼 下場 香港 現時 一樣 有遠見
10965,總之反中共就岩嫁啦，香港好明顯係一個好例子啦,1,總之 反 中共 就岩 嫁 啦 ， 香港 好 明顯 係 一個 好 例子 啦,總之 反 中共 就岩 嫁 啦 香港 明顯 一個 例子 啦
10966,真正國際大都會，支那地方再吹奏一百年都冇用,1,真正 國際 大都會 ， 支那 地方 再 吹奏 一百年 都 冇用,真正 國際 大都會 支那 地方 吹奏 一百年 冇用
10967,班馬來西亞華人日日係facebook撐中共,1,班 馬來西亞 華人 日日 係 face book 撐 中共,班 馬來西亞 華人 日日 face book 撐 中共
10968,"越南歷史博物館嘅民族英雄，都係打走中國人嘅越南將軍，
而佢哋覺得美國人只係過客， 反而中國人就永遠都會響佢身邊隨時偷襲",1,"越南 歷史博物館 嘅 民族英雄 ， 都 係 打 走 中國 人 嘅 越南 將軍 ， 
 而 佢哋 覺得 美國人 只係 過客 ，   反而 中國 人 就 永遠 都 會 響 佢 身邊 隨時 偷襲",越南 歷史博物館 民族英雄 打 走 中國 人 越南 將軍 美國人 只係 過客 反而 中國 人 永遠 響 身邊 隨時 偷襲
10969,罷交稅、每日穿黑衣.....，這些事情頗有難度，希望胡議員能以身作則示範一下。,0,罷 交稅 、 每日 穿 黑衣 ..... ， 這些 事情 頗 有 難度 ， 希望 胡 議員 能 以身作則 示範 一下 。,罷 交稅 每日 穿 黑衣 ..... 事情 頗 難度 希望 胡 議員 能 以身作則 示範 一下
10970,"其實政府只需學英國咁, 將暴徙既家庭,取消公屋就唔會有人搞事, 佢地九成九係公屋既人.可以騰出空間比有需要既正常市民.",0,"其實 政府 只 需學 英國 咁 ,   將 暴徙 既 家庭 , 取消 公屋 就 唔會 有人 搞事 ,   佢 地 九成 九 係 公屋 既人 . 可以 騰出 空間 比有 需要 既 正常 市民 .",其實 政府 只 需學 英國 將 暴徙 家庭 取消 公屋 唔會 有人 搞事 地 九成 九 公屋 既人 騰出 空間 比有 需要 正常 市民
10971,我納稅人可唔可以罷出糧俾呢班仆街犯狗,0,我 納稅人 可 唔 可以 罷 出糧 俾 呢 班仆街 犯狗,納稅人 可 罷 出糧 俾 班仆街 犯狗
10972,"唔交稅, 立法會議員冇糧出.",0,"唔 交稅 ,   立法會 議員 冇 糧出 .",交稅 立法會 議員 糧出
10973,這樣深色衣物洗衣液很有市場,0,這樣 深色 衣物 洗衣 液 很 有 市場,這樣 深色 衣物 洗衣 液 很 市場
10974,檎日叫人着白，今日叫人着黑，黑白不分都做到垃圾桶議員,0,檎 日 叫 人 着 白 ， 今日 叫 人 着 黑 ， 黑白不分 都 做到 垃圾桶 議員,檎 日 叫 人 着 白 今日 叫 人 着 黑 黑白不分 做到 垃圾桶 議員
10975,咁我啲黑色衫你叫我掉哂佢呀？,0,咁 我 啲 黑色 衫 你 叫 我 掉 哂 佢 呀 ？,黑色 衫 叫 掉 哂
10976,唔係第一次講，萛把啦，胡生。。,0,唔係 第一次 講 ， 萛 把 啦 ， 胡生 。 。,第一次 萛 把 啦 胡生
10977,係囉，佢叫人做咋，無話自己會去做！,0,係 囉 ， 佢 叫 人 做 咋 ， 無話 自己 會去 做 ！,囉 叫 人 做 咋 無話 會去 做
10978,查吓稅務條例，你唔交稅冇問題，稅務局長有權喺你銀行戶口直接過數（加埋利息罰款）。天天穿黑衣咁悶，人哋睇唔厭你都想死啦。揾自己笨。,0,查吓 稅務 條例 ， 你 唔 交稅 冇 問題 ， 稅務 局長 有權 喺 你 銀行 戶口 直接 過數 （ 加埋 利息 罰款 ） 。 天天 穿 黑衣 咁 悶 ， 人哋 睇 唔 厭 你 都 想死 啦 。 揾 自己 笨 。,查吓 稅務 條例 交稅 問題 稅務 局長 有權 銀行 戶口 直接 過數 加埋 利息 罰款 天天 穿 黑衣 悶 厭 想死 啦 揾 笨
10979,日日黑衣有西用咩！星期三去立法會野餐啦,0,日日 黑衣 有西用 咩 ！ 星期三 去 立法會 野餐 啦,日日 黑衣 有西用 星期三 立法會 野餐 啦
10980,胡志偉諗住日日有人同佢講：節哀順變,0,胡 志偉 諗 住 日日 有人 同 佢 講 ： 節哀順變,胡 志偉 住 日日 有人 節哀順變
10981,矮仔偉得d咁既招咋,0,矮 仔偉得 d 咁 既 招 咋,矮 仔偉得 d 招 咋
10982,又黑又白不如唔好著.,0,又 黑 又 白 不如 唔好 著 .,黑 白 唔好 著
10983,胡志偉第一個停薪，吾好講咁多🤔🤔🤔,0,胡 志偉 第一個 停薪 ， 吾 好講 咁 多 🤔 🤔 🤔,胡 志偉 第一個 停薪 吾 好講 🤔 🤔 🤔
10984,罷乜L呀！！！夠薑就全部去天星碼頭自焚！！！！,0,罷乜 L 呀 ！ ！ ！ 夠 薑 就 全部 去 天星 碼頭 自焚 ！ ！ ！ ！,罷乜 L 夠 薑 全部 天星 碼頭 自焚
10985,最重要嘅絕食佢唔講?,0,最 重要 嘅 絕食 佢 唔 講 ?,重要 絕食
10986,唔交稅，畀稅局罰錢時是不是胡議員會補貼？,0,唔 交稅 ， 畀 稅局 罰錢 時 是不是 胡 議員 會 補貼 ？,交稅 畀 稅局 罰錢 時 是不是 胡 議員 補貼
10987,反對派及家人及親朋戚友以身作則做先,0,反對派 及 家人 及 親朋 戚友 以身作則 做 先,反對派 及 家人 及 親朋 戚友 以身作則 做 先
10988,"黃又得，白又得，黑又得，著咩色衫係香港生存都係佢d人
唔係點代表全香港人",0,"黃 又 得 ， 白 又 得 ， 黑 又 得 ， 著 咩 色衫 係 香港 生存 都 係 佢 d 人 
 唔係 點 代表 全 香港人",黃 白 黑 著 色衫 香港 生存 d 人 代表 全 香港人
10989,好提議,0,好 提議,提議
10990,垃圾已完個腦生係屎忽😂😂,0,垃圾 已 完個 腦生 係 屎 忽 😂 😂,垃圾 已 完個 腦生 屎 忽 😂 😂
10991,"其實咁既言論幾能on9
仲話自己係主席",0,"其實 咁 既 言論 幾能 on9 
 仲話 自己 係 主席",其實 言論 幾能 on9 仲話 主席
10992,相信過去在網上表達過自己意見和立場，已被他們記綠在案，難保一天某領導人看不爽秋後算賬，一個個引渡返去勞改。 叫人不得不堅持反對這條例。 立了法，香港人更加沒有言論自由 香港人在這時刻唯有互相團結。 今天手法硬推立法 明天手法也一樣會硬引渡莫須有 明明可只簽台灣 為何又要加入法治不完善地方? ...,0,相信 過去 在 網上 表達 過 自己 意見 和 立場 ， 已 被 他們 記綠 在案 ， 難保 一天 某 領導人 看 不爽 秋後算賬 ， 一個個 引渡 返去 勞改 。   叫 人 不得不 堅持 反對 這 條例 。   立 了 法 ， 香港人 更加 沒有 言論自由   香港人 在 這時 刻 唯有 互相 團結 。   今天 手法 硬推 立法   明天 手法 也 一樣 會 硬 引渡 莫須有   明明 可 只簽 台灣   為何 又 要 加入 法治 不 完善 地方 ?   ...,相信 過去 網上 表達 意見 立場 已 被 記綠 在案 難保 一天 某 領導人 不爽 秋後算賬 一個個 引渡 返去 勞改 叫 人 不得不 堅持 反對 條例 立 了 法 香港人 更加 言論自由 香港人 這時 刻 唯有 互相 團結 今天 手法 硬推 立法 明天 手法 也 一樣 硬 引渡 莫須有 明明 可 只簽 台灣 為何 加入 法治 完善 地方 ...
10993,"被迫害妄想症發作 請食藥！
得撚閒搞你咩 真係好忟",0,"被迫 害 妄想症 發作   請 食藥 ！ 
 得 撚 閒 搞 你 咩   真係 好 忟",被迫 害 妄想症 發作 請 食藥 撚 閒 搞 忟
10994,唔交，得，罰款照計～,0,唔 交 ， 得 ， 罰款 照計 ～,交 罰款 照計
10995,又罷交税？ dklm咪出過囉，但你班福街就自己准時交晒，免被罰款囉！,0,又罷 交税 ？   dklm 咪 出過 囉 ， 但 你 班福街 就 自己 准時 交晒 ， 免 被 罰款 囉 ！,又罷 交税 dklm 出過 囉 但 班福街 准時 交晒 免 被 罰款 囉
10996,103人發聲。 政府竟然都可以照去。 這個是什麼政府尼,0,103 人 發聲 。   政府 竟然 都 可以 照去 。   這個 是 什麼 政府 尼,103 人 發聲 政府 竟然 照去 政府 尼
10997,立法會議員煽動市民犯法,0,立法會 議員 煽動 市民 犯法,立法會 議員 煽動 市民 犯法
10998,無畏無懼，不受脅迫的政府！有中共風範！,0,無畏 無懼 ， 不受 脅迫 的 政府 ！ 有 中共 風範 ！,無畏 無懼 不受 脅迫 政府 中共 風範
10999,"胡生,如果有人因為聽你呼籲,著黑衫響暴曬環境下暈倒甚至有生命危險,請問胡生會唔會作出巨額賠償?
如果唔會,請胡生自己實行先....",0,"胡生 , 如果 有人 因為 聽 你 呼籲 , 著 黑衫 響 暴曬 環境 下 暈倒 甚至 有 生命危險 , 請問 胡生會 唔會 作出 巨額 賠償 ? 
 如果 唔會 , 請 胡生 自己 實行 先 ....",胡生 有人 聽 呼籲 著 黑衫 響 暴曬 環境 下 暈倒 甚至 生命危險 請問 胡生會 唔會 作出 巨額 賠償 唔會 請 胡生 實行 先 ....
11000,港共政權仆皆了，林鄭臭西張賤種邱騰華長糧注銷了，與人民對立嘅中共中央輸到底褲也沒了,0,港共 政權 仆 皆 了 ， 林 鄭臭 西張 賤種 邱 騰華 長糧 注銷 了 ， 與 人民 對立 嘅 中共中央 輸 到底 褲 也 沒了,港共 政權 仆 皆 了 林 鄭臭 西張 賤種 邱 騰華 長糧 注銷 了 人民 對立 中共中央 輸 到底 褲 也 沒了
11001,你有冇咁天真呀！,0,你 有冇 咁 天真 呀 ！,天真
11002,尼班褔街有交過稅咩？小心連老終都攞唔到,0,尼班 褔 街 有 交過 稅 咩 ？ 小心 連老終 都 攞 唔 到,尼班 褔 街 交過 稅 小心 連老終 攞
11003,呢條撚樣思覺失調,0,呢條 撚 樣思覺 失調,呢條 撚 樣思覺 失調
11004,犯民叫人罷工，議員人工照,0,犯民叫 人 罷工 ， 議員 人工 照 ,犯民叫 人 罷工 議員 人工 照 
11005,又煽動群眾衝擊堵立會搞罷工佔領？？？,0,又 煽動 群眾 衝擊 堵立會 搞 罷工 佔領 ？ ？ ？,煽動 群眾 衝擊 堵立會 搞 罷工 佔領
11006,建議胡主席及一眾反對派耳完先捐出八成薪水,0,建議 胡主席 及 一眾 反對派 耳 完先 捐出 八成 薪水,建議 胡主席 及 一眾 反對派 耳 完先 捐出 八成 薪水
11007,如果癱瘓政府癱瘓香港？咁全香港人都會受害,0,如果 癱瘓 政府 癱瘓 香港 ？ 咁 全 香港人 都 會 受害,癱瘓 政府 癱瘓 香港 全 香港人 受害
11008,等緊班人星期三怎樣罷工搞流會,0,等 緊班人 星期三 怎樣 罷工 搞 流會,等 緊班人 星期三 怎樣 罷工 搞 流會
11009,倡罷交税已經犯法啦,0,倡罷 交税 已經 犯法 啦,倡罷 交税 犯法 啦
11010,臭口胡天天黑儿关人鸟事。,0,臭口 胡天 天黑 儿关 人 鸟事 。,臭口 胡天 天黑 儿关 人 鸟事
11011,出d咁嘅白痴文章，就叫搞亂香港？咁就想交貨俾你d老闆?我係你老闆實炒L咗你呢個呃人工的扑街!,0,出 d 咁 嘅 白痴 文章 ， 就 叫 搞亂 香港 ？ 咁 就 想 交貨 俾 你 d 老闆 ? 我 係 你 老闆 實炒 L 咗 你 呢個 呃 人工 的 扑街 !,出 d 白痴 文章 叫 搞亂 香港 交貨 俾 d 老闆 老闆 實炒 L 呃 人工 扑街
11012,好主意！,0,好 主意 ！,主意
11013,嗎交會比人啦，到時做逃犯啦,0,嗎 交會 比人 啦 ， 到時 做 逃犯 啦,嗎 交會 比人 啦 到時 做 逃犯 啦
11014,"支持的，人人派5000, 看一下有沒反對的",0,"支持 的 ， 人人 派 5000 ,   看 一下 有 沒 反對 的",支持 人人 派 5000 一下 沒 反對
11015,"係囉...既然佢地覺得政府不義,點解仲要出政府糧??",0,"係 囉 ... 既然 佢 地 覺得 政府 不義 , 點解 仲要 出 政府 糧 ? ?",囉 ... 既然 地 政府 不義 仲要 出 政府 糧
11016,已閱,0,已閱,已閱
11017,最好令香港癱瘓，人人失業,0,最好 令 香港 癱瘓 ， 人人 失業,最好 令 香港 癱瘓 人人 失業
11018,罷工點夠，胡議員應該帶頭辭職,0,罷工 點夠 ， 胡 議員 應該 帶頭 辭職,罷工 點夠 胡 議員 帶頭 辭職
11019,支持吾出糧比議員,0,支持 吾 出糧 比 議員,支持 吾 出糧 比 議員
11020,唔交稅，拿，係有種就唔好唔做。唔係冚家產。,0,唔 交稅 ， 拿 ， 係 有種 就 唔好 唔 做 。 唔係 冚 家產 。,交稅 拿 有種 唔好 做 冚 家產
11021,胡生係黨內都自身難保 有冇諗過佢有冇號召力?,0,胡生 係 黨內 都 自身難保   有冇 諗 過 佢 有冇 號召力 ?,胡生 黨內 自身難保 號召力
11022,神經病！胡生試一試先,0,神經病 ！ 胡生 試一試 先,神經病 胡生 試一試 先
